HBA_cid,HBA_smiles,Vendor Status,GHS_info,Health Score,SCALED HEALTH,HEALTH PI,Environmental Score,ENV SCALED,ENV PI,HBA_InChIKey,HBA_MolecularFormula,HBA_MolecularWeight,SCALED MW,MW PI,HBA_mp,TOTAL PI,RANK,MIN MW in set,HBA
75853,CCC[N+](C)(C)C.[Br-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,FCGQIZKUTMUWDC-UHFFFAOYSA-M,C6H16BrN,182.1,51.14772103,13.80988468,no mp data,84.60988468,1,,Trimethylpropylammonium bromide
75854,CCCC[N+](C)(C)C.[Br-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,YGGIZRRNXQJOTI-UHFFFAOYSA-M,C7H18BrN,196.13,47.48891042,12.82200581,no mp data,83.62200581,2,,"1-Butanaminium, N,N,N-trimethyl-, bromide (1:1)"
78872,CC[N+](C)(C)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,IUHDTQIYNQQIBP-UHFFFAOYSA-M,C11H18ClN,199.72,46.63528941,12.59152814,no mp data,83.39152814,3,,Benzylethyldimethylammonium chloride
6209,C[N+](C)(C)CCO.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,SGMZJAMFUVOLNK-UHFFFAOYSA-M,C5H14ClNO,139.62,66.70964045,18.01160292,305,83.31160292,4,,Choline chloride
71310335,C[N+](C)(C)CCO.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,SGMZJAMFUVOLNK-NWZHYJCUSA-M,C5H14ClNO,140.62,66.23524392,17.88351586,no mp data,83.18351586,5,,Choline chloride-15N
71309123,C[N+](C)(C)CCO.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,SGMZJAMFUVOLNK-LJJZSEGWSA-M,C5H14ClNO,140.62,66.23524392,17.88351586,no mp data,83.18351586,5,,2-Hydroxy(213C)ethyl(trimethyl)azanium;chloride
74745,CCC[N+](CCC)(CCC)CCC.[Br-],True,Not classified as a hazardous substance,0,100,55.0,0,100.0,18.0,BGQMOFGZRJUORO-UHFFFAOYSA-M,C12H28BrN,266.26,34.98084579,9.444828363,252.2222222,82.44482836,7,,Tetrapropylammonium bromide
16213539,C[N+](C)(C)CCO.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,SGMZJAMFUVOLNK-KYRNGWDOSA-M,C5H14ClNO,148.68,62.64460586,16.91404358,no mp data,82.21404358,8,,Methyl-D9-choline chloride
82326,CC[N+](C)(CC)CC.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,NIUZJTWSUGSWJI-UHFFFAOYSA-M,C7H18ClN,151.68,61.40559072,16.57950949,no mp data,81.87950949,9,,"n,n-Diethyl-n-methylethanaminium chloride"
24951,CCCCCCCCCC[N+](C)(C)C.[Cl-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,HXWGXXDEYMNGCT-UHFFFAOYSA-M,C13H30ClN,235.84,39.49287653,10.66307666,no mp data,81.46307666,10,,Decyltrimethylammonium chloride
11746670,CCCC[N+](CC)(CC)CC.[Br-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,ZNFYPPCUDSCDPR-UHFFFAOYSA-M,C10H24BrN,238.21,39.09995382,10.55698753,no mp data,81.35698753,11,,(1-Butyl)triethylammonium bromide
88091,CC[N+](CC)(CCO)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,MTIWHYTVKBFFOH-UHFFFAOYSA-M,C13H22ClNO,243.77,38.20814702,10.316199699999999,no mp data,81.1161997,12,,Benzyldiethyl(2-hydroxyethyl)ammonium chloride
6452152,C1CCC2=[N+](CC1)CCCN2CC3=CC=CC=C3.[Cl-],True,['H319'],10,98,53.9,0,100.0,18.0,CIIDVPBPKJUNNK-UHFFFAOYSA-M,C16H23ClN2,278.82,33.4050642,9.019367334,no mp data,80.91936733,13,,"1-Benzyl-2,3,4,6,7,8,9,10-octahydropyrimido(1,2-a)azepinium chloride"
112264,CC[N+]1(CCCC1)C.[Br-],True,['H341'],50,90,49.5,0,100.0,18.0,KHJQQUGSPDBDRM-UHFFFAOYSA-M,C7H16BrN,194.11,47.98310236,12.95543764,no mp data,80.45543764,14,,1-Ethyl-1-methylpyrrolidinium bromide
74750,CCCCCCCCC[N+](C)(C)C.[Br-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,SSEGNMJSEROZIF-UHFFFAOYSA-M,C12H28BrN,266.26,34.98084579,9.444828363,no mp data,80.24482836,15,,Nonyltrimethylammonium bromide
11062816,C[N+](C)(C)CC1=CC=CC=C1.[F-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,KFSZGBHNIHLIAA-UHFFFAOYSA-M,C10H16FN,169.24,55.03427086,14.85925313,no mp data,80.15925313,16,,Benzyltrimethylammonium fluoride
165294,CC[N+](CC)(CC)CC1=CC=CC=C1.[Br-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,CHQVQXZFZHACQQ-UHFFFAOYSA-M,C13H22BrN,272.22,34.21497318,9.23804276,no mp data,80.03804276,17,,Benzyltriethylammonium bromide
3015147,C[N+](C)(CC1=CC=CC=C1)C2CCCCC2.[Cl-],True,['H412'],0,100,55.0,50,81.81818182,14.72727273,ZYUCLFWLUQAJEJ-UHFFFAOYSA-M,C15H24ClN,253.81,36.69674166,9.908120247000001,no mp data,79.63539297,18,,Benzyl(cyclohexyl)dimethylammonium chloride
101569,C[N+](C)(CC1=CC=CC=C1)CC2=CC=CC=C2.[Cl-],True,['H412'],0,100,55.0,50,81.81818182,14.72727273,LCXAARCEIWRIMU-UHFFFAOYSA-M,C16H20ClN,261.79,35.57813515,9.60609649,no mp data,79.33336922,19,,Dibenzyldimethylammonium chloride
23500186,CCC[N+](CC)(CCC)CCC.[I-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,ZLHWTGZMAWUUMD-UHFFFAOYSA-M,C11H26IN,299.24,31.12551798,8.403889853999999,no mp data,79.20388985,20,,Ethyltripropylammonium Iodide
10891295,CCCC[N+](CCCC)(CCCC)CCCC.F.[F-],True,['H314'],25,95,52.25,0,100.0,18.0,ZHBDKVWQJKYIFF-UHFFFAOYSA-M,C16H37F2N,281.47,33.09056027,8.934451274,no mp data,79.18445127,21,,Tetrabutylammonium bifluoride
6060,CC(=O)OCC[N+](C)(C)C.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,JUGOREOARAHOCO-UHFFFAOYSA-M,C7H16ClNO2,181.66,51.271606299999995,13.8433337,no mp data,79.1433337,22,,Acetylcholine chloride
74724,C[N+](C)(C)CCO.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,JJCWKVUUIFLXNZ-UHFFFAOYSA-M,C5H14BrNO,184.07,50.6003151,13.66208508,no mp data,78.96208508,23,,Choline Bromide
16211989,C[N+](C)(C)CC1=CC=CC=C1.O.[F-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,RQVPEOYSZICMEA-UHFFFAOYSA-M,C10H18FNO,187.25,49.74098798,13.43006676,no mp data,78.73006676,24,,Benzyltrimethylammonium fluoride hydrate
122756,CC[N+](CC)(CC)CC1=CC=CC=C1.[I-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,JWLJBISFJGEYMT-UHFFFAOYSA-M,C13H22IN,319.22,29.17736984,7.877889857,no mp data,78.67788986,25,,Benzyltriethylammonium iodide
16217619,C[N+](C)(C)CCO.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,JJCWKVUUIFLXNZ-HGFPCDIYSA-M,C5H14BrNO,188.1,49.51621478,13.36937799,no mp data,78.66937799,26,,"Choline-1,1,2,2-d4 bromide"
44630344,CCCCCCCC[N+](C)(C)CCCCCC.[Br-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,KIEOLZRKTOBVMX-UHFFFAOYSA-M,C16H36BrN,322.37,28.89226665,7.800911996,no mp data,78.600912,27,,Hexyldimethyloctylammonium Bromide
3034700,CCCCCCCCCCCCCC[N+](CC1=CC=CC=C1)(CC(C)O)CC(C)O.[Cl-],True,Not classified as a hazardous substance,0,100,55.0,0,100.0,18.0,KXUWBDGMGUMNIG-UHFFFAOYSA-M,C27H50ClNO2,456.1,20.42096032,5.513659285,no mp data,78.51365929,28,,Benzylbis(2-hydroxypropyl)tetradecylammonium chloride
45038081,CC(=O)OCC[N+](C)(C)C.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,JUGOREOARAHOCO-WWMMTMLWSA-M,C7H16ClNO2,190.71,48.83855068,13.18640868,no mp data,78.48640868,29,,Acetylcholine-d9 Chloride
71308987,C[N+](C)(C)CCO.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,JJCWKVUUIFLXNZ-KYRNGWDOSA-M,C5H14BrNO,193.13,48.22658313,13.02117745,no mp data,78.32117745,30,,Choline bromide-trimethyl-d9
200862,CC[N+]1(CCOC(=O)C1)CC.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,RBRYBFQKZYAIQT-UHFFFAOYSA-M,C8H16ClNO2,193.67,48.09211545,12.98487117,no mp data,78.28487117,31,,"4,4-Diethyl-2-oxomorpholinium chloride"
3083778,CC[N+](C)(CC)CC.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,GRVPDGGTLNKOBZ-UHFFFAOYSA-M,C7H18BrN,196.13,47.48891042,12.82200581,no mp data,78.12200581,32,,Triethylmethylammonium bromide
158451,CCC[N+](C)(C)CC.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,BSMDPGZLSUDGEK-UHFFFAOYSA-M,C7H18BrN,196.13,47.48891042,12.82200581,no mp data,78.12200581,32,,Ethyldimethylpropylammonium bromide
71309220,C[N+](C)(C)CCO.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,JJCWKVUUIFLXNZ-TYBPHYHNSA-M,C5H14BrNO,197.15,47.24321583,12.75566827,no mp data,78.05566827,34,,"(1,1,2,2-Tetradeuterio-2-hydroxyethyl)-tris(trideuteriomethyl)azanium;bromide"
76408,CCCCCCCC[N+](C)(C)CCCCCCCC.[Br-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,APTVNWGLSRAOFJ-UHFFFAOYSA-M,C18H40BrN,350.4,26.58105023,7.176883562,no mp data,77.97688356,35,,Dimethyldioctylammonium bromide
6381,C[N+](C)(C)C.[I-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,RXMRGBVLCSYIBO-UHFFFAOYSA-M,C4H12IN,201.05,46.32678438,12.50823178,no mp data,77.80823178,36,,Tetramethylammonium iodide
11009532,CCCC[N+]1(CCCC1)C.[Br-],True,"['H302', 'H319']",60,88,48.4,0,100.0,18.0,LCZRPQGSMFXSTC-UHFFFAOYSA-M,C9H20BrN,222.17,41.92285187,11.31917,no mp data,77.71916999999999,37,,1-Butyl-1-methylpyrrolidinium bromide
6454543,C[N+](C)(CCO)CC1=CC=CC=C1C=C.C=CC1=CC=CC=C1C=C.[Cl-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,DPRMXNMXCFHCAS-UHFFFAOYSA-M,C23H30ClNO,371.9,25.04436677,6.761979027000001,no mp data,77.56197903,38,,"1,2-Bis(ethenyl)benzene;(2-ethenylphenyl)methyl-(2-hydroxyethyl)-dimethylazanium;chloride"
10045219,CCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,TTXDNWCDEIIMDP-UHFFFAOYSA-M,C20H44BrN,378.5,24.60766182,6.644068692,no mp data,77.44406869,39,,Heptadecyltrimethylammonium bromide
24949,CCCCCCCC[N+](C)(C)C.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,AQZSPJRLCJSOED-UHFFFAOYSA-M,C11H26ClN,207.78,44.82625854,12.10308981,no mp data,77.40308981,40,,Octyltrimethylammonium chloride
20316921,CCC[N+](C)(CC)CC.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,IJJXIIFMAVRCIW-UHFFFAOYSA-M,C8H20BrN,210.16,44.31861439,11.96602589,no mp data,77.26602589,41,,Diethylmethylpropylammonium bromide
71309012,C[N+](C)(C)CCCl.[Cl-],True,"['H302', 'H312']",100,80,44.0,0,100.0,18.0,UHZZMRAGKVHANO-KYRNGWDOSA-M,C5H13Cl2N,167.12,55.73240785,15.04775012,no mp data,77.04775012,42,,Chlorocholine Chloride-d9
66125,CC[N+](C)(C)C.[I-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,ZPEBBUBSCOELHI-UHFFFAOYSA-M,C5H14IN,215.08,43.30481681,11.69230054,no mp data,76.99230054,43,,Ethyltrimethylammonium iodide
3014549,C[N+](C)(CCO)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,NUPDFKWZQURWCC-UHFFFAOYSA-M,C11H18ClNO,215.72,43.17633970000001,11.65761172,no mp data,76.95761172,44,,Benzyl(2-hydroxyethyl)dimethylammonium chloride
94530,CC(=C)C(=O)OCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H317', 'H319']",45,91,50.05,0,100.0,18.0,CRGOPMLUWCMMCK-UHFFFAOYSA-M,C15H22ClNO2,283.79,32.82004299,8.861411607,no mp data,76.91141161,45,,Benzyldimethyl[2-[(2-methyl-1-oxoallyl)oxy]ethyl]ammonium chloride
79880,CCC[N+](CCC)(CCC)CCC.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,FBEVECUEMUUFKM-UHFFFAOYSA-M,C12H28ClN,221.81,41.99089311,11.33754114,no mp data,76.63754114,46,,Tetrapropylammonium chloride
23500174,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-](Br)Br,True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,LSCNDUNMPYESRN-UHFFFAOYSA-N,C16H36Br2ClN,437.7,21.27941512,5.745442084,no mp data,76.54544208,47,,Tetrabutylammonium Dibromochloride
10059492,CCCCCC[N+](C)(C)C.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,JYVPKRHOTGQJSE-UHFFFAOYSA-M,C9H22BrN,224.18,41.54697118,11.21768222,no mp data,76.51768222,48,,Hexyltrimethylammonium bromide
65551,CC(=O)OCC[N+](C)(C)C.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,ZEHGKSPCAMLJDC-UHFFFAOYSA-M,C7H16BrNO2,226.11,41.19234001,11.121931800000002,no mp data,76.4219318,49,,Acetylcholine bromide
87300,C[N+](C)(C)CCO.[I-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,FNPBHXSBDADRBT-UHFFFAOYSA-M,C5H14INO,231.08,40.3063874,10.8827246,no mp data,76.18272459999999,50,,Choline iodide
9805153,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,BWNMWDJZWBEKKJ-UHFFFAOYSA-M,C31H58ClN,480.2,19.39608496,5.23694294,no mp data,76.03694294,51,,Behenalkonium chloride
12767855,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.O.[Cl-],True,['H314'],25,95,52.25,0,100.0,18.0,MEAWKEQKQGFJHS-UHFFFAOYSA-M,C27H52ClNO,442.2,21.06286748,5.68697422,no mp data,75.93697422,52,,BenzyldiMethylstearylaMMoniuM Chloride Hydrate
67803,C[N+](C)(C)C.[F-],True,"['H302', 'H312', 'H315', 'H319', 'H332', 'H335']",220,56,30.8,0,100.0,18.0,GTDKXDWWMOMSFL-UHFFFAOYSA-M,C4H12FN,93.14,100.0,27.0,no mp data,75.8,53,,Tetramethylammonium fluoride
16212312,CC[N+](CC)(CC)CC1=CC=CC=C1.O.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,RSSXVMKLXXFFDT-UHFFFAOYSA-M,C13H24ClNO,245.79,37.89413727,10.23141706,no mp data,75.53141706,54,,Benzyl(triethyl)azanium;chloride;hydrate
11726816,CCCC[N+](CCCC)(CCCC)CCCC.O.O.O.[F-],True,"['H314', 'H318']",50,90,49.5,0,100.0,18.0,VEPTXBCIDSFGBF-UHFFFAOYSA-M,C16H42FNO3,315.51,29.52045894,7.970523914,no mp data,75.47052391,55,,Tetrabutylammonium fluoride trihydrate
74964,CCCCCCCC[N+](C)(C)C.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,XCOHAFVJQZPUKF-UHFFFAOYSA-M,C11H26BrN,252.23,36.9266146,9.970185941,no mp data,75.27018594,56,,n-Octyltrimethylammonium bromide
162073,C[N+](C)(CCOC(=O)C=C)CC1=CC=CC=C1.[Cl-],True,"['H317', 'H319', 'H412']",35,93,51.15,50,81.81818182,14.72727273,ZGCZDEVLEULNLJ-UHFFFAOYSA-M,C14H20ClNO2,269.77,34.52570708,9.321940912999999,no mp data,75.19921364,57,,Dimethylaminoethyl acrylate benzyl chloride
6225,CC[N+](CC)(CC)CC.[I-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,UQFSVBXCNGCBBW-UHFFFAOYSA-M,C8H20IN,257.16,36.21869653,9.779048063,no mp data,75.07904806,58,,Tetraethylammonium iodide
11180877,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[I-],True,"['H315', 'H319']",20,96,52.8,0,100.0,18.0,KGPZZJZTFHCXNK-UHFFFAOYSA-M,C32H68IN,593.8,15.68541596,4.235062311,no mp data,75.03506231,59,,Tetra-n-octylammonium Iodide
78667,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Cl-],True,"['H314', 'H317']",50,90,49.5,0,100.0,18.0,SXAWRMKQZKPHNJ-UHFFFAOYSA-M,C20H44ClN,334.0,27.88622754,7.529281437000001,no mp data,75.02928144,60,,Tetrapentylammonium chloride
5946,CC[N+](CC)(CC)CC.[Cl-],True,"['H302', 'H315', 'H319', 'H335']",120,76,41.8,0,100.0,18.0,YMBCJWGVCUEGHA-UHFFFAOYSA-M,C8H20ClN,165.7,56.21001811,15.17670489,no mp data,74.97670489,61,,Tetraethylammonium chloride
16739405,CCCCC[N+](CCCC)(CCCC)CCCC.[Br-],True,['H302'],50,90,49.5,0,100.0,18.0,SJHCESPLNOBUMO-UHFFFAOYSA-M,C17H38BrN,336.4,27.68727705,7.475564803999999,no mp data,74.97556479999999,62,,Tributylpentylammonium bromide
10825627,CCCCCC[N+](CC)(CC)CC.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,NAWZSHBMUXXTGV-UHFFFAOYSA-M,C12H28BrN,266.26,34.98084579,9.444828363,no mp data,74.74482836,63,,Triethylhexylammonium bromide
71309260,CCC[N+](CCC)(CCC)CCC.[Br-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,BGQMOFGZRJUORO-IDBRGDLFSA-M,C12H28BrN,267.25,34.85126286,9.409840973,no mp data,74.70984097,64,,Tetrapropylammonium-15N bromide
162303,C[N+](C)(CCO)CCO.[Cl-],True,"['H302', 'H315', 'H319', 'H335']",120,76,41.8,0,100.0,18.0,OPVXPOIGBSHXNM-UHFFFAOYSA-M,C6H16ClNO2,169.65,54.90126732,14.82334218,no mp data,74.62334218,65,,Bis(2-hydroxyethyl)dimethylammonium chloride
6097067,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H319', 'H335']",70,86,47.3,0,100.0,18.0,YTRIOKYQEVFKGU-UHFFFAOYSA-M,C16H28ClN,269.9,34.50907744,9.317450908,no mp data,74.61745091,66,,Benzyltripropylammonium chloride
