HBA_cid,HBA_smiles,Vendor Status,GHS_info,Health Score,Environmental Score,HBA_InChIKey,HBA_MolecularFormula,HBA_MolecularWeight,HBA_mp
23558,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],True,"['H302', 'H314', 'H301', 'H318', 'H400', 'H410', 'H411', 'H312', 'H317', 'H370', 'H330', 'H371', 'H373']",500,275,RUPBZQFQVRMKDG-UHFFFAOYSA-M,C22H48ClN,362.1,94-100 
8154,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],True,"['H302', 'H314', 'H400', 'H311', 'H315', 'H318', 'H335', 'H410', 'H312', 'H319']",295,200,WOWHHFRSBJGXCM-UHFFFAOYSA-M,C19H42ClN,320.0,no mp data
62581,CCCCCCCC[N+](C)(C)CCCCCCCC.[Cl-],True,"['H226', 'H301', 'H302', 'H310', 'H314', 'H318', 'H400']",275,100,FARBQUXLIQOIDY-UHFFFAOYSA-M,C18H40ClN,306.0,no mp data
5946,CC[N+](CC)(CC)CC.[Cl-],True,"['H302', 'H315', 'H319', 'H335']",120,0,YMBCJWGVCUEGHA-UHFFFAOYSA-M,C8H20ClN,165.7,no mp data
74236,CCCC[N+](CCCC)(CCCC)CCCC.[Br-],True,"['H302', 'H315', 'H319', 'H335', 'H411', 'H412', 'H260', 'H314']",145,125,JRMUNVKIHCOMHV-UHFFFAOYSA-M,C16H36BrN,322.37,no mp data
21218,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.[Cl-],True,"['H301', 'H315', 'H318', 'H319', 'H400', 'H410', 'H302', 'H314']",195,200,XKBGEWXEAPTVCK-UHFFFAOYSA-M,C25H54ClN,404.2,no mp data
20708,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],True,"['H315', 'H319', 'H335']",70,0,CEYYIKYYFSTQRU-UHFFFAOYSA-M,C17H38ClN,291.9,no mp data
8155,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],True,"['H302', 'H311', 'H312', 'H314', 'H318', 'H400', 'H410']",225,200,VBIIFPGSPJYLRR-UHFFFAOYSA-M,C21H46ClN,348.0,no mp data
7879,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCC.[Cl-],True,"['H318', 'H400', 'H410']",25,200,REZZEXDLIUJMMS-UHFFFAOYSA-M,C38H80ClN,586.5,no mp data
67553,CCCC[N+](CCCC)(CCCC)CCCC.[I-],True,"['H302', 'H315', 'H318', 'H319', 'H335']",145,0,DPKBAXPHAYBPRL-UHFFFAOYSA-M,C16H36IN,369.37,no mp data
2724141,CCCC[N+](CCCC)(CCCC)CCCC.[F-],True,"['H314', 'H318', 'H335']",100,0,FPGGTKZVZWFYPV-UHFFFAOYSA-M,C16H36FN,261.46,no mp data
91822,CCCC[N+](C)(CCCC)CCCC.[Cl-],True,"['H302', 'H312', 'H315', 'H319', 'H335', 'H400', 'H410', 'H413']",170,225,IPILPUZVTYHGIL-UHFFFAOYSA-M,C13H30ClN,235.84,no mp data
78667,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Cl-],True,"['H314', 'H317']",50,0,SXAWRMKQZKPHNJ-UHFFFAOYSA-M,C20H44ClN,334.0,no mp data
74745,CCC[N+](CCC)(CCC)CCC.[Br-],True,Not classified as a hazardous substance,0,0,BGQMOFGZRJUORO-UHFFFAOYSA-M,C12H28BrN,266.26,252.22222222222223
70681,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],True,"['H315', 'H319', 'H335']",70,0,NHGXDBSUJJNIRV-UHFFFAOYSA-M,C16H36ClN,277.9,no mp data
61906,CCCCCCCCCC[N+](C)(C)CCCCCCCC.[Cl-],True,"['H302', 'H314', 'H400']",75,100,SCXCDVTWABNWLW-UHFFFAOYSA-M,C20H44ClN,334.0,no mp data
24952,CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC.[Cl-],True,"['H302', 'H314', 'H315', 'H318', 'H400', 'H410', 'H411']",110,275,RSHHCURRBLAGFA-UHFFFAOYSA-M,C30H64ClN,474.3,no mp data
15743,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC.[Cl-],True,"['H314', 'H302', 'H315', 'H318', 'H335', 'H400', 'H410']",160,200,ZCPCLAPUXMZUCD-UHFFFAOYSA-M,C34H72ClN,530.4,no mp data
12429,CCC[N+](CCC)(CCC)CCC.[I-],True,"['H315', 'H319', 'H335']",70,0,GKXDJYKZFZVASJ-UHFFFAOYSA-M,C12H28IN,313.26,no mp data
3014969,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],True,"['H315', 'H319', 'H400', 'H410', 'H302', 'H312', 'H314']",145,200,YSJGOMATDFSEED-UHFFFAOYSA-M,C25H54ClN,404.2,no mp data
78073,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,YQIVQBMEBZGFBY-UHFFFAOYSA-M,C28H60BrN,490.7,no mp data
76521,CCCC[N+](C)(CCCC)CCCC.[I-],True,"['H315', 'H319', 'H335']",70,0,DXJLCRNXYNRGRA-UHFFFAOYSA-M,C13H30IN,327.29,no mp data
18843,CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Cl-],True,"['H302', 'H315', 'H319']",70,0,WLCFKPHMRNPAFZ-UHFFFAOYSA-M,C26H56ClN,418.2,no mp data
2735155,CCCCCCCC[N+](CCC)(CCCCCCCC)CCCCCCCC.[Cl-],True,"['H302', 'H315', 'H319', 'H335']",120,0,WFEXFNMTEBFLMM-UHFFFAOYSA-M,C27H58ClN,432.2,no mp data
82489,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[Cl-],True,"['H315', 'H319', 'H335']",70,0,VMJQVRWCDVLJSI-UHFFFAOYSA-M,C28H60ClN,446.2,no mp data
80021,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],True,"['H315', 'H319', 'H335']",70,0,ODTSDWCGLRVBHJ-UHFFFAOYSA-M,C24H52ClN,390.1,no mp data
79880,CCC[N+](CCC)(CCC)CCC.[Cl-],True,"['H315', 'H319', 'H335']",70,0,FBEVECUEMUUFKM-UHFFFAOYSA-M,C12H28ClN,221.81,no mp data
78026,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,SYZCZDCAEVUSPM-UHFFFAOYSA-M,C24H52BrN,434.6,no mp data
77071,CCCCCCC[N+](CCCCCCC)(CCCCCCC)CCCCCCC.[I-],True,"['H315', 'H319', 'H335']",70,0,KCSOHLKZTZMKQA-UHFFFAOYSA-M,C28H60IN,537.7,no mp data
75056,CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC.[I-],True,"['H315', 'H319', 'H335']",70,0,VRKHAMWCGMJAMI-UHFFFAOYSA-M,C24H52IN,481.6,no mp data
70086,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,SPALIFXDWQTXKS-UHFFFAOYSA-M,C20H44BrN,378.5,no mp data
17248,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[I-],True,"['H315', 'H319', 'H335']",70,0,FBLZDUAOBOMSNZ-UHFFFAOYSA-M,C20H44IN,425.5,no mp data
134813759,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCCCCC.[Cl-],True,"['H315', 'H318', 'H373', 'H400', 'H411']",85,175,SCKGZBOXILYGNB-UHFFFAOYSA-M,C43H90ClN,656.6,no mp data
20316921,CCC[N+](C)(CC)CC.[Br-],True,"['H315', 'H319', 'H335']",70,0,IJJXIIFMAVRCIW-UHFFFAOYSA-M,C8H20BrN,210.16,no mp data
14029864,CCCCCCCCCCCC[N+](CCCCCCCCCCCC)(CCCCCCCCCCCC)CCCCCCCCCCCC.[Cl-],True,"['H315', 'H319', 'H335']",70,0,KEVJUENWYCMNET-UHFFFAOYSA-M,C48H100ClN,726.8,no mp data
11996614,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Cl-],True,"['H315', 'H319', 'H335']",70,0,SNNIPOQLGBPXPS-UHFFFAOYSA-M,C32H68ClN,502.3,no mp data
11748636,CCCC[N+](CCCC)(CCCC)CCCC.F.F.[F-],True,"['H302', 'H310', 'H312', 'H314', 'H318', 'H330', 'H332', 'H350']",500,0,MRXQMNWIADOAJY-UHFFFAOYSA-M,C16H38F3N,301.47,no mp data
11746670,CCCC[N+](CC)(CC)CC.[Br-],True,"['H315', 'H319']",20,0,ZNFYPPCUDSCDPR-UHFFFAOYSA-M,C10H24BrN,238.21,no mp data
11726816,CCCC[N+](CCCC)(CCCC)CCCC.O.O.O.[F-],True,"['H314', 'H318']",50,0,VEPTXBCIDSFGBF-UHFFFAOYSA-M,C16H42FNO3,315.51,no mp data
10891295,CCCC[N+](CCCC)(CCCC)CCCC.F.[F-],True,['H314'],25,0,ZHBDKVWQJKYIFF-UHFFFAOYSA-M,C16H37F2N,281.47,no mp data
10062191,CCCC[N+](C)(CCCC)CCCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,DHAWHVVWUNNONG-UHFFFAOYSA-M,C13H30BrN,280.29,no mp data
71309260,CCC[N+](CCC)(CCC)CCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,BGQMOFGZRJUORO-IDBRGDLFSA-M,C12H28BrN,267.25,no mp data
23500186,CCC[N+](CC)(CCC)CCC.[I-],True,"['H315', 'H319']",20,0,ZLHWTGZMAWUUMD-UHFFFAOYSA-M,C11H26IN,299.24,no mp data
23500184,CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.CCCC[N+](CCCC)(CCCC)CCCC.[Br-].[Br-].[Br-],True,"['H314', 'H315', 'H319', 'H335']",95,0,SFLXUZPXEWWQNH-UHFFFAOYSA-K,C48H108Br3N3,967.1,no mp data
23500174,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-](Br)Br,True,"['H315', 'H319']",20,0,LSCNDUNMPYESRN-UHFFFAOYSA-N,C16H36Br2ClN,437.7,no mp data
16739405,CCCCC[N+](CCCC)(CCCC)CCCC.[Br-],True,['H302'],50,0,SJHCESPLNOBUMO-UHFFFAOYSA-M,C17H38BrN,336.4,no mp data
16212273,CCCC[N+](CCCC)(CCCC)CCCC.O.[Cl-],True,"['H315', 'H319', 'H335']",70,0,FODWRUPJCKASBN-UHFFFAOYSA-M,C16H38ClNO,295.9,no mp data
15859728,CCCC[N+](CCCC)(CCCC)CCCC.[Br-](I)I,True,"['H315', 'H319', 'H335']",70,0,HQEJIUVMVREIFY-UHFFFAOYSA-N,C16H36BrI2N,576.18,no mp data
3017238,CCCC[N+](CCC)(CCC)CCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,SXUONWAMSFNGTD-UHFFFAOYSA-M,C13H30BrN,280.29,no mp data
16213617,CCC[N+](CCC)(CCC)CCC.[Br-],True,"['H315', 'H319', 'H335']",70,0,BGQMOFGZRJUORO-PJUGJBFXSA-M,C12H28BrN,294.43,no mp data
8755,CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],True,"['H302', 'H312', 'H314', 'H318', 'H400', 'H410', 'H301+H331', 'H301', 'H311']",450,200,OCBHHZMJRVXXQK-UHFFFAOYSA-M,C23H42ClN,368.0,60-61 
8753,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],True,"['H302', 'H311', 'H312', 'H314', 'H318', 'H330', 'H400', 'H410', 'H332']",375,200,JBIROUFYLSSYDX-UHFFFAOYSA-M,C21H38ClN,340.0,29-34 
31204,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],True,"['H302', 'H314', 'H315', 'H318', 'H400', 'H410']",110,200,SFVFIFLLYFPGHH-UHFFFAOYSA-M,C27H50ClN,424.1,no mp data
5963,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],True,"['H301', 'H302', 'H311', 'H315', 'H319', 'H332', 'H341', 'H412', 'H370', 'H373', 'H371']",470,50,KXHPPCXNWTUNSB-UHFFFAOYSA-M,C10H16ClN,185.69,243 
31202,CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],True,"['H302', 'H311', 'H312', 'H314', 'H317', 'H318', 'H330', 'H335', 'H400', 'H410']",400,200,SXPWTBGAZSPLHA-UHFFFAOYSA-M,C25H46ClN,396.1,no mp data
23705,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],True,"['H301', 'H302', 'H314', 'H315', 'H319', 'H335', 'H400']",220,100,KHSLHYAUZSPBIU-UHFFFAOYSA-M,C21H38BrN,384.4,no mp data
66133,CC[N+](CC)(CC)CC1=CC=CC=C1.[Cl-],True,"['H302', 'H315', 'H317', 'H319', 'H335', 'H412']",145,50,HTZCNXWZYVXIMZ-UHFFFAOYSA-M,C13H22ClN,227.77,no mp data
13762,CCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],True,"['H302', 'H312', 'H314', 'H400', 'H302+H312', 'H318', 'H315', 'H319', 'H335']",320,100,TTZLKXKJIMOHHG-UHFFFAOYSA-M,C19H34ClN,311.9,29-34 
29563,CCCCCCCCCCCC[N+](CCO)(CCO)CC1=CC=CC=C1.[Cl-],True,"['H302', 'H315', 'H318', 'H319', 'H331', 'H335', 'H400', 'H410']",220,200,UUSQFLGKGQEVCM-UHFFFAOYSA-M,C23H42ClNO2,400.0,108.0 
20619,C[N+](C)(C)CC1=CC=CC=C1.[I-],True,"['H302', 'H315', 'H319', 'H335']",120,0,LRRJQNMXIDXNIM-UHFFFAOYSA-M,C10H16IN,277.14,no mp data
177843,CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.O.O.[Cl-],True,"['H302', 'H314', 'H400']",75,100,YLPZVNXGKBIJBW-UHFFFAOYSA-M,C23H46ClNO2,404.1,no mp data
21449,C[N+](C)(C)CC1=CC=CC=C1.[Br-],True,"['H302', 'H315', 'H319', 'H335']",120,0,UUZYBYIOAZTMGC-UHFFFAOYSA-M,C10H16BrN,230.14,no mp data
13740,CCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],True,"['H302', 'H312', 'H314', 'H400']",125,100,PXFDQFDPXWHEEP-UHFFFAOYSA-M,C17H30ClN,283.9,no mp data
15636465,CCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Br-],True,"['H301', 'H312', 'H314', 'H400']",150,100,JBJPHJWPSMUIJR-UHFFFAOYSA-M,C17H30BrN,328.3,no mp data
101569,C[N+](C)(CC1=CC=CC=C1)CC2=CC=CC=C2.[Cl-],True,['H412'],0,50,LCXAARCEIWRIMU-UHFFFAOYSA-M,C16H20ClN,261.79,no mp data
76668,C[N+](C)(CC1=CC=CC=C1)C2=CC=CC=C2.[Cl-],True,"['H302', 'H314', 'H400']",75,100,QLRKASHXFNIPLZ-UHFFFAOYSA-M,C15H18ClN,247.76,no mp data
22833367,C[N+]1(CC=CC=C1)CC2=CC=CC=C2.[Cl-],True,"['H226', 'H314', 'H318', 'H335', 'H400']",100,100,NBNVYJFZJWMHPR-UHFFFAOYSA-M,C13H16ClN,221.72,no mp data
2724282,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Br-],True,"['H302', 'H312', 'H315', 'H319', 'H332', 'H335']",220,0,UDYGXWPMSJPFDG-UHFFFAOYSA-M,C19H34BrN,356.4,no mp data
159952,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],True,"['H302', 'H314', 'H315', 'H319']",95,0,VJGNLOIQCWLBJR-UHFFFAOYSA-M,C19H34ClN,311.9,no mp data
122756,CC[N+](CC)(CC)CC1=CC=CC=C1.[I-],True,"['H315', 'H319']",20,0,JWLJBISFJGEYMT-UHFFFAOYSA-M,C13H22IN,319.22,no mp data
78872,CC[N+](C)(C)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H319']",20,0,IUHDTQIYNQQIBP-UHFFFAOYSA-M,C11H18ClN,199.72,no mp data
40887,CC(C1=CC=CC=C1)[N+](C)(C)C.[I-],True,"['H315', 'H319', 'H335']",70,0,YOCNHAYWAZXNAZ-UHFFFAOYSA-M,C11H18IN,291.17,no mp data
33917,CCCCCCCCCCCC[N+](C)(C)CC1=CC=C(C=C1)CC.[Cl-],True,"['H302+H312', 'H302', 'H312', 'H314', 'H318', 'H400', 'H410']",250,200,IHDIFQKZWSOIBB-UHFFFAOYSA-M,C23H42ClN,368.0,no mp data
23274630,CCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],True,"['H302', 'H312', 'H314', 'H400']",125,100,BNDXNEVHWSOJGV-UHFFFAOYSA-M,C15H26ClN,255.82,no mp data
16211866,CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[I-],True,"['H315', 'H319', 'H335']",70,0,QVGHRPSUYBFXLH-UHFFFAOYSA-M,C19H34IN,403.4,no mp data
11062816,C[N+](C)(C)CC1=CC=CC=C1.[F-],True,"['H315', 'H319', 'H335']",70,0,KFSZGBHNIHLIAA-UHFFFAOYSA-M,C10H16FN,169.24,no mp data
10157558,CCCCCCCCCCCCCC[N+](C)(C)CC1=CC=C(C=C1)CC.[Cl-],True,"['H226', 'H302', 'H312', 'H314', 'H400']",125,100,QPDOMSFIXQWROY-UHFFFAOYSA-M,C25H46ClN,396.1,no mp data
9805153,CCCCCCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H319']",20,0,BWNMWDJZWBEKKJ-UHFFFAOYSA-M,C31H58ClN,480.2,no mp data
6097067,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H319', 'H335']",70,0,YTRIOKYQEVFKGU-UHFFFAOYSA-M,C16H28ClN,269.9,no mp data
3014549,C[N+](C)(CCO)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H319', 'H335']",70,0,NUPDFKWZQURWCC-UHFFFAOYSA-M,C11H18ClNO,215.72,no mp data
165294,CC[N+](CC)(CC)CC1=CC=CC=C1.[Br-],True,"['H315', 'H319']",20,0,CHQVQXZFZHACQQ-UHFFFAOYSA-M,C13H22BrN,272.22,no mp data
103275,CCCCCCCCCCCCCCCC[N+](CC1=CC=CC=C1)(CC(C)O)CC(C)O.[Cl-],True,"['H314', 'H411']",25,75,XURDIXCMWFXRBV-UHFFFAOYSA-M,C29H54ClNO2,484.2,no mp data
103099,CCCCCCCCCCCC[N+](CC1=CC=CC=C1)(CC(C)O)CC(C)O.[Cl-],True,"['H314', 'H411']",25,75,DMKGBWJRTCHMCP-UHFFFAOYSA-M,C25H46ClNO2,428.1,no mp data
88091,CC[N+](CC)(CCO)CC1=CC=CC=C1.[Cl-],True,"['H315', 'H319']",20,0,MTIWHYTVKBFFOH-UHFFFAOYSA-M,C13H22ClNO,243.77,no mp data
53442637,C[N+](C)(C)CC1=CC=CC=C1.C[N+](C)(C)CC1=CC=CC=C1.C[N+](C)(C)CC1=CC=CC=C1.[Br-].[Br-].[Br-],True,"['H315', 'H319', 'H335']",70,0,KTLFENNEPHBKJD-UHFFFAOYSA-K,C30H48Br3N3,690.4,no mp data
16211989,C[N+](C)(C)CC1=CC=CC=C1.O.[F-],True,"['H315', 'H319', 'H335']",70,0,RQVPEOYSZICMEA-UHFFFAOYSA-M,C10H18FNO,187.25,no mp data
13047371,C[N+]1(CCC2=CC=CC=C2C1)C.[I-],True,"['H315', 'H319', 'H335']",70,0,JEXHVRQCLSJLRD-UHFFFAOYSA-M,C11H16IN,289.16,no mp data
12767855,CCCCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.O.[Cl-],True,['H314'],25,0,MEAWKEQKQGFJHS-UHFFFAOYSA-M,C27H52ClNO,442.2,no mp data
