HBD_cid,HBD_smiles
1176,C(=O)(N)N
11457650,C(=O)(N)N
636363,C(=O)(N)N
101721,C(=O)(N)N.Cl
53411231,C(=O)(N)N.Br
10197611,C(=O)(N)N
2723980,C(=O)(N)N
181299,C(=O)(N)N.S
86736265,C(=O)(N)N.[Na]
86596646,[HH].C(=O)(N)N
59101662,C(=O)([NH3+])N
22635082,C(=O)(N)N.[NH4+]
22227373,C(=O)(N)N.N
22120529,C(=O)(N)NS
12201322,C(=O)(N)N.O
11367429,C(=O)(N)NI
133083685,C(=O)(N)N.Cl.Cl.Cl
131953165,C(=O)(N)N
129798405,C(=O)(N)N[Se]S
129773145,C(=O)(N)N=[Se]
129633844,C(=O)(N)N.N#N
129628220,C(=O)(N)N[Sb]
71309436,C(=O)(N)N
71309326,C(=O)(N)N
71308962,C(=O)(N)N
59676589,C(=O)(N)[NH-].[Rb+]
54486461,C(=O)(N)N
44147494,C(=O)(N)N.[Br-]
23692105,C(=O)(N)N.[Na+].[Cl-]
22906606,C(=O)(N)N.F
22301546,C(=O)(N)NSN
22186107,C(=O)(N)N.Cl.Cl
21219856,C(=O)(N)[N+]#N
16213489,C(=O)(N)N
5359702,C(=O)(N)[NH]
145840767,C(=O)(N)N
141294216,C(=O)(N)N=[Se].S
141261221,C(=O)(N)N.ClCl
141256741,[C-](=O)N.[NH4+]
141233680,C(=O)(N)N.O=[Zn]
141182016,C(=O)(N)N.BrBr
141120069,C(=O)(N)N.FF
140352613,C(=O)(N)N=[Fe]
139715943,[Li+].C(=O)(N)[NH-]
139263372,C(=O)(N)N.[Cu+]
139235623,C(=O)(N)[NH-].[Na+]
137219787,C(=O)([NH3+])N.Br.[Br-]
136344200,C(=O)([NH3+])N.[I-]
135687120,C(=O)([NH3+])N.[Br-]
129831212,C(=O)(N)[NH-].[Zn]
129697112,C(=O)(N)[NH-].[NH2-].O=[Ni]
129637176,C(=O)(N)[Sb]N
118902296,C(=O)(N)N.F.F
91028607,C(=O)(N)N
57446744,C(=O)(N)N[Sn]
23349884,C(=O)(N)N.Br.Br
22906607,C(=O)(N)N.I
21657412,C(=O)(N)N.[Cu+2]
451202,C(=O)(N)N
6365645,[B-].C(=O)(N)N
10964392,C(=O)(N)N
18934404,C(=O)(N)N.[O-2].[Zn+2]
19845299,C(=O)(N)N.[SH3+]
19870090,C(=O)(N)N.[Na+].[Na+]
19920742,C(=O)(N)N.[Zr+2]
20249631,C(=O)(N)N.[Mg+2]
20258636,C(=O)(N)N.[Pd+2]
20267080,[C-]#N.C(=O)(N)N
20291457,C(=O)(N)N.[Fe+2]
20363350,C(=O)(N)N.[F-].[Ca+2]
21317070,C(=O)(N)N.[Ti+2]
21467749,C(=O)(N)N.[Ca+2].[Br-]
21560186,C(=O)(N)N.[Co+2]
21946481,C(=O)(N)N.[Ca+2]
22023789,C(=O)(N)N.[Si]
22123861,C(=O)(N)N.[NH4+].[Cl-]
22251333,C(=O)(N)N.N.N
22402807,C(=O)(N)N.[Ba+2]
22590922,C(=O)(N)N.[Na+]
22602564,C(=O)(N)N.[K+]
22608753,[H+].C(=O)(N)N
22625577,[Li+].C(=O)(N)N.[Cl-]
22903037,C(=O)(N)N.[Al+3].[Zr+2]
22903039,C(=O)(N)N.[Al+3].[Cl-]
23079619,C(=O)(N)N.[W+2]
23278745,C(=O)([NH3+])[NH3+]
23283747,C(=O)(N)N.[Cl-]
23469355,C(=O)(N)N.[NH4+].[Br-]
23506128,C(=O)(N)N.[Zn+2]
23700055,C(=O)(N)N.[Cl-].[K+]
25144640,C(=O)(N)N
25144776,C(=O)(N)N
53421583,C(=O)(N)N.Cl.[Cl-]
57130989,C(=O)(N)N[Si]N
57359111,C(=O)([NH-])[NH-]
57417492,C(=O)(N)N[Se]
57420513,C(=O)(N)N.[Ni]
57448906,C(=O)(N)N.[V]
57481238,C(=O)(N)N[Sb]N
71309437,C(=O)(N)N
73950289,C(=O)(N)N.[Pb]
87111967,C(=O)(N)N.[Al].Cl
87180104,C(=O)(N)N.[W]
87201502,C(=O)(N)N[Pb]
87349912,C(=O)(N)N.[Ce]
87350023,C(=O)(N)N.[Hf]
87573819,C(=O)(N)N.[Mo]
87579280,C(=O)(N)N.SS
87675783,C(=O)(N)N.[Ca]
87729930,C(=O)(N)N.Cl.[Ca]
87967568,C(=O)(N)N.[Cu]
87971476,C(=O)(N)N.[Se]
87981105,C(=O)(N)N.[Mg].Cl
88050481,C(=O)(N)N.[Zn]
88078523,C(=O)(N)N.Cl.[Pd]
88308141,C(=O)(N)N([Se])[Se]
88325909,C(=O)(N)N.[Ti]
88376164,C(=O)(N)N.[Ca].Br
88377773,C(=O)(N)N.[Al].[Zr]
88389643,C(=O)(N)N[Te]
88417798,C(=O)(N)N.[Zr]
88438558,C(=O)(N)N.[Au]
88605054,C(=O)(N)N.[Na].[Na]
88623765,C(=O)(N)N.[Pd]
88646989,C(=O)(N)N.[Pt]
88655711,C(=O)(N)N[Se].Br
88696546,C(=O)(N)N.Cl.[Zn]
88712139,C(=O)(N)[NH-].[W]
88761110,C(=O)(N)N.[Fe]
88765259,C(=O)(N)N.N.Cl
88801590,C(=O)(N)N.[Co]
88808735,C(=O)(N)N.F.[Ca]
90177242,C(=O)(N)[NH-].[Cu+]
118454914,C(=O)(N)N.N.[Ca]
124202878,C(=O)(N)N
129721034,C(=O)(N)[NH-].[PtH+]
131885161,C(=O)(N)N
135704073,C(=O)([NH3+])NCl
137191369,C(=O)([NH3+])N.[Cl-]
137424544,C(=O)(N)N.S.[Ca]
146165737,C(=O)([NH3+])[NH]
1030,CC(CO)O
7896,CC(CCO)O
753,C(C(CO)O)O
222285,C(C(C(CO)O)O)O
11164,C1C(O1)CO
10442,C(CO)CO
262,CC(C(C)O)O
14846,CC(CO)OC
169019,C(C(C(CO)O)O)O
18302,C(CO)C(CO)O
12190,COCC(COC)O
11429,CCC(CO)O
8998,C(C(C(CO)O)O)O
104840,C1CO1.C(C(CO)O)O
92127,C(C(CI)O)O
637497,CC(CCO)O
446973,CC(CCO)O
439888,CC(C(C)O)O
439846,CC(CO)O
259994,CC(CO)O
92822,COCC(CO)O
42953,C(C(COCC(CO)O)O)O
6994279,C(CO)C(CO)O
6973630,C1C(O1)CO
5460455,C1C(O1)CO
445969,C(C(C(CO)O)O)O
225936,CC(C(C)O)O
220010,CC(C(C)O)O
94215,CCOCC(CO)O
20497,CC(C(CO)O)O
1657,C(C(CF)O)O
22023661,C=O.C(C(CO)O)O
12486323,COCC(CO)OC
11170931,COC(CO)CO
6993189,CCC(CO)O
99037,CCCOCC(CO)O
23445216,CC(CO)O.O
20195342,C(C(CO)(O)O)O
16212640,C(CO)CO.C(CO)O.C(C(CO)O)O
12592183,C(C(CI)O)O
12241264,CC(C(CO)O)O
6451841,B(O)(O)O.C(C(CO)O)O
6398419,CC(C(CO)O)O
641012,CCC(CO)O
640997,C(CO)C(CO)O
547790,CC(C(C)OC)O
449470,CC(C(O)O)O
345901,CC(CO)(CO)O
156179,COCC(CO)O
139799,CC(C(C(C)O)O)O
123505,CCC(C(C)O)O
71309239,C(CO)CO
40457949,CCC(C(C)O)O
21627884,C(C(C(O)O)O)O
20162113,C(C(COS)O)O
17835330,CC(CO)OO
16213271,CC(CO)O
14819038,CC(COO)O
14120372,CCOC(CO)CO
12239075,C(C(CO)O)O
12203561,CC(C(C)O)O
11768502,C(C(CO)O)O
10630886,C(C(CO)OCC(CO)O)O
10176094,C(C(CO)O)O
7014878,COCC(CO)O
6455931,B(O)(O)O.CC(CO)O
642402,CC(CO)OC
253154,CC(C(CO)O)O
240392,CC(C)OCC(CO)O
214676,C(C(CF)O)O
208702,C(C(CF)O)O
174617,C(C(CO)O)O.[Zn]
153388,C(C(CO)O)O.O
87008,CC(C)OC(CO)CO
85759,C(COCC(CO)O)O
122674143,CC(C(C)O)O.O
87261709,C(C(C(O)F)O)O
87205914,B(C(C(CO)O)O)(O)O
71309005,CC(CO)O
59392129,C(C(COO)O)OO
58166097,COCCC(CO)O
57882501,C(CO)CO
57127623,CC(C(CO)OC)O
56636932,C(C(CO)O)O
54315362,C(C(COP)O)O
54184487,C(C(CO)O)O
54145031,C(C(CO)ON)O
54142459,C(C(COCl)O)O
45479327,C(C(C(CO)O)O)O
44148235,C(C(COOOCC(CO)O)O)O
44118659,CC(C(C)O)O
42627047,CC(CO)O.O
25199671,C(C(CO)O)O.[Zn]
23505434,CCO.C(C(CO)O)O
23069655,C(C(C(O)(O)O)(O)O)O
22709006,C(C(COOCC(CO)O)O)O
22404033,CC(C(O)(O)O)O
22286133,CC(CO)ON
22253802,C(C(CO)O)O.C(C(CO)O)O
22084329,CC(CO)[OH2+]
22002688,COCCC(CO)O
21891976,CC(CO)(O)O
21841920,C(C(C(O)I)O)O
21758503,CC(CO)OCCCO
21413945,COOCC(CO)O
19861959,C1C(COO1)O
18728334,CC(C(CO)O)O
18699327,C1C(C1O)O
17977369,C(C(COO)O)O
16750120,C1(C(C1O)O)O
16682751,C(C(CO[Bi](=O)=O)O)O
16213502,C(CO)CO
16213438,C(C(CO)O)O
15720951,COCCC(CO)O
14229398,B(O)(O)OCC(CO)O
13801163,CCC(C(CO)O)O
13536814,C(C(CO)(CO)O)O
13273098,C(C(CON)O)ON
13273090,C(C(CON)O)O
12825070,C(C(COS(=O)(=O)O)O)O
12592182,C(C(CI)O)O
12498146,CCC(C(C)O)O
12498145,CCC(C(C)O)O
12210534,CC(C(C(C)O)O)O
12203549,CC(CO)O
12201648,C(CO)CO
11275204,C(C(CO)OC(CO)CO)O
11159299,CC(C(C)OC)O
11137112,CCC(C(C)O)O
9989217,C(C(CO)O)O
6999759,CCOCC(CO)O
2733588,CC(CO)OC
547785,CCC(C(CO)O)O
448097,CC(CO)O.O
370185,C(C(C[As](=O)(O)O)O)O
155528,CCCOCC(CO)O
139597731,C(C(CO)O)O.[Na+].[Zr+2]
134159788,[H+].[CH2-]C(CO)O
132052620,C(C(CO)OOC(CO)CO)O
131953477,[H+].[H+].C(C(CO)O)O
129816999,C(CO)CO.O
129800881,C(C(C(CO)O)O)O.O
129722905,C(C(CO)O)O.Cl.Cl.Cl
129702010,C(C(CO)O)O.O.Cl
129691012,C(C(CO)(O)S)O
129674498,C(CO)CO
129206506,CCC(CO)O.O
124014110,CC(CO)O
123932223,C(C(CON)OO)O
123891545,CC(COO)O
123839150,CC(COO)O
123551841,C(C(CO[SiH3])O)O
123521494,[CH2+]CC(CO)O
123456898,C(C(C[OH2+])O)[OH2+]
123293113,C(C(C(O)[SiH3])O)O
123280770,C(C(CO[SiH]=O)O)O
123275762,C(C(CO[Si](=O)O[SiH3])O)O
122506978,CCC(C)O.C(CO)O
121494075,C1C(O[Al]O1)CO.O
118510829,CC.CCO.C(C(CO)O)O
117815306,CC.CC(C(CO)O)O
91844618,C(C(CO)O)O.[Na+].[Zr+4]
91473115,C(CO)CO
91294772,C(C(C(O)(S)S)O)O
91216283,C(CO)CO
91170468,C(C(CO)O)O
91132755,C(C(CON=S)O)O
91062988,B(O)(O)OCC(CO)OB(O)O
91038746,CC(C(O)(O)OO)O
90853312,CC(C(C)OC)O
90757343,CCC.CCC(CO)O
90727667,C(C(CO)O)O
90687902,CCOOCC(COO)O
89781510,C(C(C(O)O)O)O
88843069,CC(C(C)O)O.C(CO)O
88834976,C1C(COO1)O.C(C(CO)O)O
88697853,C(CO)O.C(C(C(CO)O)O)O
88697852,C(CO)O.C(C(C(CO)O)O)O
88663211,CC(CO)O.CC(C(C)O)O
88653918,CC(C)O.CC(C(C)O)O
88619980,CC(C)O.CC(CO)O.Cl
88547398,C(C(C(COS)O)O)O
88417321,C(CO)O.C(C(CO)O)O.C(C(CO)O)O
88387482,B(O)(O)OOCC(CO)O
88375116,C(C(CO)O)O.O.O
88327948,CCO.CC(CO)O.C(C(CO)O)O
88311999,CC(C)O.CC(CO)O.C(C(CO)O)O
88240960,C[CH2-].CCC([CH-]O)O.[Zn+2]
88170707,CC(C)OC.CC(CO)O
88159281,CCCO.CCC(CO)O
88154522,CC(CO)O.CC(CO)O
88146030,CCO.CCO.C(C(CO)O)O
88044950,CCO.CC(CO)O.Cl
87989206,C(C(CO)O)O.C(C(CO)O)O.O
87985965,C(C#CC(CO)O)O
87985512,CCCOC.CC(CO)O
87963851,C(C(COBr)O)OBr
87931346,COCC(CO)OC
87930205,CC(C)(O)O.C(C(CO)O)O
87858671,CC(C)O.C(C(CO)O)O.O
87790824,CC(CO)O.COCCCO
87783641,CCC(CO)O.C(C(CO)O)O
87698709,CC.CC(C(C)(O)O)O
87641089,CCCC.C(C(CO)O)O
87640100,C(C(CO)O)O.C(C(C(CO)O)O)O
87626421,C#COCC(CO)O
87561753,CC(C(C)OO)O
87515893,CCO.CC(C(C)O)O
87483693,CC(CO)O.C(C(CO)O)O.O
87391684,C1C(OOO1)CO
87363183,C(C(C(O)OO)O)O
87362865,C(C(O)O)(C(O)O)O
87331116,C1C(OO1)CO.C(C(CO)O)O
87309234,C(CO)O.C(CO)O.C(C(CO)O)O
87293521,COOCC(COOC)O
87270403,C(C(COCC(CO)O)O)O
87238382,C(C(C(O)(O)O)O)O
87234101,CCCOOCC(CO)O
87227481,CC(CO)O.C(CO)O.C(CO)O
87220393,C(CO)C(CO)O.O
87204151,CCCCO.C(C(CO)O)O
87183112,CCCC.CC(CO)O
87169936,CC(C(C)O)O.COC
87153038,CC(C(C)OC)O
87148248,CC(CO)O.CC(CO)O
87099115,C(C(C[O-])O)O.C(C(C[O-])O)O.[Ca+2]
86614669,CC(CO)O.CO
72201055,C([C](CO)O)O
71309105,C(CO)CO
71309096,CC(CO)O
71308889,C(CO)CO
69747772,C1C(C1O)O.C(CO)CO
60152447,CC(CO)O.O.[OH-].[Al+3].[Cl-]
60055122,C(C(CO)O)O.[Y]
59971972,[B]CC(CO)O
59957104,[CH]1C(O1)CO
59915782,[CH](C(C(O)O)O)O
59902700,[CH]C(CO)O
59890033,[CH2-]C(CO)O.[Rf]
59682502,[CH2-]C(CO)O.[CH2-]C(CO)O.[Rf]
59645032,C(C(CO)O)O
59645029,C(C(CO)O)O
59645028,C(C(CO)O)O
59645025,C(C(CO)O)O
59645024,C(C(CO)O)O
59645023,C(C(CO)O)O
59645022,C(C(CO)O)O
59645021,C(C(CO)O)O
59645020,C(C(CO)O)O
59645019,C(C(CO)O)O
59645018,C(C(CO)O)O
59645017,C(C(CO)O)O
59645016,C(C(CO)O)O
59645015,C(C(CO)O)O
59645014,C(C(CO)O)O
59645013,C(C(CO)O)O
59645012,C(C(CO)O)O
59645011,C(C(CO)O)O
59645010,C(C(CO)O)O
59645007,C(C(CO)O)O
59645006,C(C(CO)O)O
59609133,CCC(C[O-])O.[Na+]
59609131,C(C(C[O-])O)[O-].[Na+].[Na+]
59599956,C(C(CO)O)O.[Rf]
59599954,C(C(CO)O)O.[Rf].[Rf].[Rf]
59596539,CC(C)OCC(CO)O
59503333,COCC(CO)O.[Re].[Rf]
59446180,CCC(C(C)O)O
59435309,COCC(CO)O.[Y]
59392128,C(C(COO)O)OO.[Rf].[Rf].[Rf]
59348021,[CH]CC(CO)O
59269245,[CH]CCC(CO)O
59229376,C(C(C(CO)O)O)[OH2+]
59229262,C(C(C[O-])O)[OH2+].[Na+]
59163880,C(C(CO)O)O.Cl[Ti](Cl)Cl.Cl[Ti](Cl)Cl.Cl[Ti](Cl)Cl
59163879,C(C(CO)O)O.[Ti].[Ti].[Ti]
59153531,[B](O)OCC(CO[B]O)O
59149373,[CH]C(CO)O
59149364,[CH]C(CO)O
59114119,CCC([CH-]O)O.[U]
59114090,C[CH-]C(CO)O.[U]
59100690,CC(C(C(C)[O-])O)[O-]
59100689,CC(C(C(C)O)O)O
59094426,C1C(O1)CO
59083392,CC([CH]O)O
59080007,CC(CCO)O
59075452,C1C(C1O)O
59075449,C1C(C1O)O
59026256,CC(C(C)OC)O
59003326,CC(C(C)OC)O
58925534,CC(C(C(C)O)O)O
58866064,C(C(CO)O)O.[Y]
58855524,C1C(O1)CO.[Rf]
58816665,CC(CO)O
58761517,CC(CO)O[CH]
58756301,CC([CH]O)O
58729191,C(C(CO)O)O
58720430,[CH2-]OCC(CO)O.[Rf]
58618340,CC(C(C)O)O
58426143,C(C(CO)O)O.[Y]
58273246,C(C(CO)O)O.C(C(CO)O)O.O=[Ti]
58185744,CC(C[O])O
58185743,CC(C[O])O
57869848,[CH]CC(CO)O
57869847,[CH]CC(CO)O
57810628,C(C[OH2+])CO
57734190,C([C-](CO)O)O
57702441,C(C(CO[Al])O)O.O.O
57689436,C(C(CO)O)O.[U].[U].[U]
57689435,COCC(CO)OC.[Ru]
57676243,[CH](C([CH]O)O)O
57585273,[CH]OCC(CO)O
57423862,C(C(CON)ON)O
57236291,C(C(COS(=O)OCC(CO)O)O)O
57220636,C(COO)C(COO)O
57219119,CC(C)OOCC(CO)O
57193861,C(C(COS)O)ON
57192062,C(C(COCl)OCl)O
57173162,CC(C)(O)OOCC(CO)O
57137340,[B]OOCC(CO)O
57121141,CC(C(C)OOCCO)O
57094863,C(C(COOO)O)O
57093281,CCOOCC(CO)O
57072918,C(C(COOOO)O)O
57056659,CC(C(COC)OC)O
57053666,[B](O)OOCC(CO)O
57035454,CC(C(CO)OC)OC
57021692,C(C(COOP(O)O)O)O
56637290,C(CO)COOCCO
54557152,CC(C(CO)O)(O)O
54484461,[B]COC(CO)CO
54307162,CC(CO)O
54307122,CCC(C[O-])O
54227904,CC(CO)OC.CO
54223488,CC(CO)OOCC(C)O
54184486,C(C(CO)O)O
54137638,C(C(COS(=O)[O-])O)O
54131905,C(C(CO[Si](=O)O)O)O
54104166,C(C(COF)O)O
53994547,C#N.C(C(CO)O)O
53991117,C(C(COS(=O)O)O)O
53952034,CC(C(CO)OC)OC
53945394,C(C(C(CF)O)O)F
53945393,C(C(C(CF)O)O)F
53805386,COOC(CO)CO
53784473,[B](O)OCC(CO)O
53759500,C(C(CO[Si](O)(O)O)O)O
53708676,C(C(CO)O)C(O)(O)O
53628390,CC(C)OCC(CO)O
42627472,C1C(O1)CO.O
42626601,C1C(OO1)CO
36689483,C(C(COCC(CO)O)O)O
25240866,C(C(CO)O)O
25240475,C(C(CO)O)O
23692791,C(C(C[O-])O)O.[Na+]
23618335,C(C(COBr)O)O
23524846,CC(COOC)O
23506506,CC(CO)O.CC(CO)O
23502641,C(C(CO)O)O.OS(=O)(=O)O
23282319,CC(C(C)O)O.C(C(CO)O)O
23282318,CCO.C(C(CO)O)O.C(C(CO)O)O
23195769,CC(C)O.C(CO)CO
23064406,C(C(COSSOCC(CO)O)O)O
23051929,CC(CO)O.Cl
22981474,C1C(O1)CO.[Ac]
22952879,C(C(COPCl)O)O
22928510,CC(C(O)F)O
22924250,C(C(CO)O)O.C(C(CO)O)O.N
22889104,C1C([OH+]1)CO
22666609,C(C(CO)O)O.C(C(C(CO)O)O)O
22647644,CC(CCO)O.CC(CO)O
22641261,CC(C)O.C(C(CO)O)O
22572615,C(C(CO)(O)F)O
22571161,CC(COCCCO)O
22563654,CC.C(CO)C(CO)O
22497775,CC(CCO)O.O
22481615,CC(C(COC)O)O
22481613,CCCCC.C(C(CO)O)O
22377413,C(C(CO)O)O.C(=O)(O)O
22222901,C(C(COSOCC(CO)O)O)O
22138134,C=C.C=C.C(C(CO)O)O
22121557,C(C(COI)O)O
22105187,CC(CO)OOCCO
21988071,CC(CO)O.C(C(CO)O)O
21959973,CCOC.CC(CO)O
21895936,CCOCC(CO)OC
21703235,C(C(CO)O)O.C(C(CO)O)O.C(C(CO)O)O
21696471,C(CCO)CO.C(C(CO)O)O
21693792,C(CO)COCC(CO)O
21571544,CC(C(CO)OC)OC
21516237,B(O)(OCC(CO)O)OCC(CO)O
21510339,C1CC1.C(C(CO)O)O
21365908,CC(C(C(C)[O-])O)[O-]
21360298,C(C(C(CF)O)O)F
21344270,C(C(COCF)O)O
21286640,CCOC(CO)COC
21254521,C(C(CO)O)O.Cl
21044997,CC(CO)O.[Y].[Y]
20776434,CC(C(C)[O-])O
20756428,C(CO)C[Te]CC(CO)O
20756427,C(CO)C[Se]CC(CO)O
20721603,CC(CO)O
20544379,CC(CCO)O.C(C(CO)O)O
20392823,CCC.C(C(CO)O)O
20285649,C(C(CO[Si](=O)O)O[Si](=O)O)O
20149008,CC(CO)O.CC(C(C)O)O
20136844,CCO.CC(CO)O
19935884,CC(C(O)(O)OOO)O
19872313,CC(C[O-])O
19797974,CC(CCO)O.C(CO)O
19779054,CCCO.C(C(CO)O)O
19087375,C(C(COO)OO)O
19073867,CC(C)O.CC(CO)O
19067848,C(COC(CO)CO)O
19025094,[B](O)OC(C)CO
18762346,C1C(C(C1O)O)O
18699574,C(C(CO)O)O.N
18699326,C1C(C1O)O.C(C(CO)O)O
18522747,CC(CO)O.C(CO)CO
18513331,C(CO)C(CO)O.C(C(CO)O)O
18419762,CC(C(C)(O)O)O
18403548,CC(C(CO)(O)O)O
18179174,C(CO)CO.C(C(CO)O)O
17889301,CCCO.CC(CO)O
17846165,CCC(CO)O.C(CO)CO
17820517,C[CH2-].C[CH2-].C(C(CO)O)O.[Zn+2]
16218180,C(C(CO)O)O
16212396,CC(CO)O.C(CO)O.C(C(CO)O)O
16211950,C(C(CO)O)O
15939121,CC(C(O)O)O
13533141,C(C(C[O-])[O-])O.[Zn+2]
13521797,C(C(COCC(CO)O)O)O
13520626,CCCOC(CO)CO
12486324,COCC(CO)OC
12239080,C(C(CO)O)O
12239079,C(C(CO)O)O
12239078,C(C(CO)O)O
12201647,C(CO)CO
11957419,[B-](O)(O)(O)OCC(CO)O
11182572,C(C(CO)O)O
10129990,CC(CO)O.C(CO)O
4369411,C(C(C(O)O)(O)O)O
3084966,C(CO)O.C(C(CO)O)O
641249,C(C(C(O)O)O)O
448355,C(C(CO)OS(=O)(=O)O)O
444702,C1C(OO1)CO
183035,CC(C(C)O[O])O
34544,CCCCO.CC(CO)O
145809993,CC(CO)O.O.O.O.O.O.O.O.O.O.O
145736221,C(C(C(O)[Si])O)O
145734211,C(C(CO)O)O.O.O.O.O
144217645,CC.COCC(CO)OC
144192472,C(CO)C(CO)O.Cl
143171042,C(C(CO)O)O.N.N.N
141741539,CC[Hg]CC(CO)O
141574116,CCO.CCO.CCO.C(C(CO)O)O
141537353,C(C(CO)O)O.OCl
141518817,C(C(CO)OCl)O
141516590,C(C(COBr)O)O
141509658,C(C(O)(O)O)(C(O)(O)O)O
141497968,C(C(C(O)I)O)O
141439357,CCC(COS)O
141375104,C(C(CO)OBr)O
141306303,C(C(COCl)O)OCl
141295845,CC.CCC(CO)O
141292000,C(C(CO)OI)O
141245088,C1C(OOO1)CO
141240281,C(C(COCl)O)O
141237758,CC(C(C)O)O.C(CO)CO
141185193,CCC(CO)O.Cl
141098557,C(C(CO)O)O.C(O)O
141036309,C(C(COS)OS)O
140979454,C(C(CO)O)O.N#N
140975093,C(C(C(CO)O)O)O.O
140784073,CC(CO)O
140777025,C(CO)C(CO)O
140698935,C(C(CO)O)O.O.O.O
140672064,[CH+]1C(O1)CO
140636466,[CH2]OCC(CO[CH2])O
140609148,CCC(CO)O
140536603,C(C(C(CO)O)O)O.Cl
140531900,C(C(CO)O)O.O.O.O.O.O.O.O.O.O.O.O.O
140506514,C(C(CO)O)O.O.O.O.O.O.O.O
140484123,CC(CO)O.O.O.O
140464771,CC(C(C(C)[O-])O)[O-]
140349346,C(C(C(=[Fe])O)O)O
140322974,CC(C(C)O)O.Br
140322967,CCC(CO)O.Br
140322939,C(C(CO)O)O.Br
140322842,CC(C(C)O)O.Cl
140322820,C(C(C(CO)O)O)O.Br
140322802,C(C(C(CO)O)O)O.Cl
140125695,CCC(C)OOCCO
140072342,CC(C(C(O)(O)O)O)O
139950945,C(C(C(O)O)O)O.O
139765727,CCO.CC(CO)O.C(C(CO)O)O.O
139708506,C(C(C(CO)O)O)O.O
139706962,CCC(C(C)O)O.O
138753645,COCC(COC)O
138753644,COCC(COC)O
137370245,CC(CO)O.Br
135016366,[CH2+]C(CO)O
